Item Name,Quantity,Price,Links
Total for PCB including shipping,x1,$65.26,
Enclosure (custom built),x1,around $45,JLCCNC
RTL-SDR,x1,$45,https://www.amazon.ca/Nooelec-NESDR-SMArt-SDR-R820T2-Based/dp/B01HA642SW
2inch PVC cap,x1,$2,Homedepot
4inch x 10 feet PVC pipe,x1,$20,Homedepot
1/2inch x 10feet PVC pipe,x1,$4,Homedepot
RG56 Coaxial Cable,x1,$19,https://www.amazon.ca/YOTENKO-Extension-Bulkhead-Cellular-Receiver/dp/B0BM45DC3D
12guage 15FT copper cable,x1,$24,https://www.homedepot.com/p/Southwire-15-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828226/202210508
PVC Cement,x1,$6,https://www.homedepot.ca/product/ipex-pvc-cement-04-low-voc-118ml/1001534394
Screws,25,$27.39,https://www.mcmaster.com/91864A002/?utm_term=socket+head+screws&location=9000797&matchtype=p&placement=&gad_source=1
Total for everything including PCB + tax + shipping,,~257.65USD,
